name,category,country_code,region,city,status,funding_total_usd,funding_rounds,founded_at,first_funding_at,last_funding_at
#fame,Media & Entertainment,IND,Mumbai,Mumbai,operating,10000000.0,1,2013-10-16,2015-01-05,2015-01-05
"(THE) ONE of THEM,Inc.",Technology,Unknown,Unknown,Unknown,operating,3406878.0,1,2012-05-13,2014-01-30,2014-01-30
0-6.com,Technology,CHN,Beijing,Beijing,operating,2000000.0,1,2007-01-01,2008-03-19,2008-03-19
004 Technologies,Technology,USA,"Springfield, Illinois",Champaign,operating,925124.5,1,2010-01-01,2014-07-24,2014-07-24
01Games Technology,Media & Entertainment,HKG,Hong Kong,Hong Kong,operating,41250.0,1,2013-04-11,2014-07-01,2014-07-01
Ondine Biomedical Inc.,Health & Biotechnology,CAN,Vancouver,Vancouver,operating,762851.0,2,1997-01-01,2009-09-11,2009-12-21
H2O.ai,Analytics & Data,USA,SF Bay Area,Mountain View,operating,33600000.0,4,2011-01-01,2013-01-03,2015-11-09
"1,2,3 Listo",E-Commerce & Retail,CHL,Santiago,Las Condes,operating,40000.0,1,2012-01-01,2013-02-18,2013-02-18
1-4 All,Media & Entertainment,USA,NC - Other,Connellys Springs,operating,500000.0,1,2012-01-31,2013-04-21,2013-04-21
1.618 Technology,Real Estate & Construction,USA,Orlando,Orlando,operating,400000.0,1,2013-12-07,2014-01-22,2014-01-22
1-800-DENTIST,Health & Biotechnology,USA,Los Angeles,Los Angeles,operating,1175735.0,1,1986-01-01,2010-08-19,2010-08-19
1-800-DOCTORS,Health & Biotechnology,USA,Newark,Iselin,operating,1750000.0,1,1984-01-01,2011-03-02,2011-03-02
"1-800-PublicRelations, Inc.",Marketing & Advertising,USA,New York City,New York,operating,6000000.0,1,2013-10-24,2015-02-01,2015-02-01
1 Mainstream,Technology,USA,SF Bay Area,Cupertino,acquired,5000000.0,1,2012-03-01,2015-03-17,2015-03-17
1 of 99,Media & Entertainment,USA,SF Bay Area,Mountain View,operating,100000.0,1,2014-12-01,2014-12-13,2014-12-13
10-20 Media,E-Commerce & Retail,USA,Baltimore,Woodbine,operating,2050000.0,4,2001-01-01,2009-06-18,2011-12-28
10 Minutes With,Education & EdTech,GBR,London,London,operating,4400000.0,2,2013-01-01,2013-01-01,2014-10-09
1000 Corks,Other,USA,"Portland, Oregon",Lake Oswego,operating,40000.0,1,2008-01-01,2011-08-23,2011-08-23
1000 Markets,E-Commerce & Retail,USA,Seattle,Seattle,acquired,500000.0,1,2009-01-01,2009-05-15,2009-05-15
Beijing 1000CHI Software Technology,Technology,Unknown,Unknown,Unknown,operating,43923865.0,1,2008-01-01,2010-04-01,2010-04-01
1000Lookz,E-Commerce & Retail,IND,Chennai,Chennai,operating,500000.0,1,2008-01-01,2013-07-22,2013-07-22
1000museums.com,Technology,USA,MA - Other,Lenox,operating,6795451.0,9,2008-01-01,2009-10-14,2015-11-13
